"Denominazione";"Codice Fiscale";"Codice ABI";"Codice BIC";"Cod. Seller Bank";"Attivo";"Attivo dal portale dell'Ente (Mod. 1 e/o 2)";"Attivo presso i canali del PSP (Mod. 3)";"Sportello fisico";"Online";"Mobile banking (App)";"Phone banking";"ATM"
"BANCA CREMASCA E MANTOVANA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"01230590190";"07076";"ICRAITRRTW0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DEI SIBILLINI-CREDITO COOPERATIVO DI CASAVECCHIA - (COMUNE DI PIEVE TORINA - PROVINCIA DI MACERATA) - SOC. COOP.";"00118970433";"08456";"ICRAITRRCO0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DEL CATANZARESE - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"03402920791";"07091";"ICRAITRRUB0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DEL CILENTO DI SASSANO E VALLO DI DIANO E DELLA LUCANIA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"02596790655";"08154";"ICRAITRR4A0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DEL GRAN SASSO D'ITALIA, BANCA DI CREDITO COOPERATIVO SOCIETÀ COOPERATIVA PER AZIONI";"90016030679";"07116";"xxxxxxxxx";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DEL PICENO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"00143690444";"08474";"ICRAITRR980";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DEL TERRITORIO LOMBARDO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"00436650170";"08735";"CCRTIT2TBTL";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DEL VALDARNO - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"00135410512";"08811";"ICRAITRRMJ0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DELL'ALTA MURGIA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"05175940724";"07056";"ICRAITRRTC0";"";"1";"0";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DELL'ELBA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"01221550492";"07048";"ICRAITRRT40";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DELLA MARCA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"03669140265";"07084";"ICRAITRRU40";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DELLA VALSASSINA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"00337470132";"08515";"ICRAITRREB0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI ANCONA E FALCONARA MARITTIMA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"00982770422";"08086";"ICRAITRR2E0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI ANDRIA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA PER AZIONI A RESPONSABILITA' LIMITATA";"06059120722";"07101";"ICRAITRRUL0";"";"1";"0";"1";"No";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI ANGHIARI E STIA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"01622460515";"08345";"ICRAITRR9L0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI BOLOGNA CREDITO COOPERATIVO SOCIETA' COOPERATIVA";"00415760370";"08883";"BDBOIT22XXX";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CARAGLIO, DEL CUNEESE E DELLA RIVIERA DEI FIORI - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA";"00245130042";"08439";"CCRTIT2TCAR";"";"1";"1";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO 'G. TONIOLO' DI SAN CATALDO (CALTANISSETTA) SOCIETA' COOPERATIVA";"00055510853";"08952";"ICRAITRRQG0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO 'S. GIUSEPPE' DI PETRALIA SOTTANA - SOCIETA' COOPERATIVA";"00223510827";"08976";"ICRAITRRR40";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO ABRUZZESE - CAPPELLE SUL TAVO SOCIETA' COOPERATIVA";"00091530683";"08434";"ICRAITRRC20";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO AGRIGENTINO - SOCIETA' COOPERATIVA";"02428850842";"07108";"ICRAITRRUS0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO AGROBRESCIANO - SOCIETA' COOPERATIVA";"00284980174";"08575";"ICRAITRRFZ0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO BERGAMASCA E OROBICA - SOCIETA' COOPERATIVA";"04074830169";"08940";"ICRAITRRQ40";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO BERGAMO E VALLI - SOCIETA' COOPERATIVA - BCC BERGAMO";"00312270168";"08869";"ICRAITRRO50";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO BRIANZA E LAGHI - SOCIETA' COOPERATIVA";"00318030137";"08329";"ICRAITRR950";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DEGLI ULIVI - TERRA DI BARI - SOCIETA' COOPERATIVA";"00274050723";"08988";"ICRAITRRRG0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DEI CASTELLI E DEGLI IBLEI SOCIETA' COOPERATIVA";"01617330855";"07078";"CCRTIT2TIBL";"";"1";"1";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DEI CASTELLI ROMANI E DEL TUSCOLO - SOCIETA' COOPERATIVA";"07311521004";"07092";"ICRAITRRCX0";"";"1";"0";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DEI COLLI ALBANI - SOCIETA' COOPERATIVA";"01103500581";"08951";"ICRAITRRQF0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DEL BASSO SEBINO - SOCIETA' COOPERATIVA";"00278750179";"08437";"ICRAITRRC50";"";"1";"0";"1";"No";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No"
"BANCA DI CREDITO COOPERATIVO DEL CIRCEO E PRIVERNATE - SOCIETA' COOPERATIVA";"01710450592";"07017";"ICRAITRRS90";"";"1";"0";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DEL METAURO - SOCIETA' COOPERATIVA";"81004820411";"08700";"ICRAITRRJG0";"";"1";"0";"1";"No";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No"
"BANCA DI CREDITO COOPERATIVO DEL VELINO - COMUNE DI POSTA PROVINCIA DI RIETI - SOCIETA' COOPERATIVA";"00036100576";"08743";"CCRTIT2TVEL";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DELL'ALTO TIRRENO DELLA CALABRIA VERBICARO - SOCIETA' COOPERATIVA";"00945950780";"08365";"ICRAITRRA50";"";"1";"0";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DELL'OGLIO E DEL SERIO - SOCIETA' COOPERATIVA";"02249360161";"08514";"ICRAITRREA0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DELLA ROMAGNA OCCIDENTALE - SOCIETA' COOPERATIVA";"00068200393";"08462";"ICRAITRRCU0";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DELLA VALLE DEL TRIGNO - SOCIETA' COOPERATIVA";"00674390703";"08189";"ICRAITRR59Z";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DELLE PREALPI - SOCIETA' COOPERATIVA";"00254520265";"08904";"CCRTIT2TPRE";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI ALBEROBELLO E SAMMICHELE DI BARI - SOCIETA' COOPERATIVA";"00380000729";"08338";"CCRTIT2TALB";"";"1";"1";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI ALTOFONTE E CACCAMO - SOCIETA' COOPERATIVA";"00193930823";"08341";"ICRAITRR9H0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI ANAGNI SOCIETA' COOPERATIVA (IN BREVE BANCANAGNI CREDITO COOPERATIVO)";"00088800602";"08344";"CCRTIT2TN00";"";"1";"1";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI AQUARA SOCIETA' COOPERATIVA";"00639000652";"08342";"CCRTIT2TAQU";"";"1";"1";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI ARBOREA - SOCIETA' COOPERATIVA";"00359060951";"08362";"ICRAITRRA20";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI AVETRANA - SOCIETA' COOPERATIVA";"00120540737";"08354";"ICRAITRR9U0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BARI - SOCIETA' COOPERATIVA";"04499160721";"07012";"ICRAITRRS40";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BARLASSINA (MILANO) - SOCIETA' COOPERATIVA";"01434500151";"08374";"ICRAITMMAE0";"";"1";"0";"1";"Sì per tutti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI BASCIANO - SOCIETA' COOPERATIVA";"00658270673";"08149";"ICRAITRR450";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BELLEGRA SOCIETA' COOPERATIVA";"01041710581";"08381";"ICRAITRRAL0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BORGHETTO LODIGIANO - SOCIETA' COOPERATIVA";"00781330154";"08030";"ICRAITRROUO";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BRESCIA - SOCIETA' COOPERATIVA (ABBR. CREDITO COOPERATIVO DI BRESCIA - SOCIETA' COOP.)";"00385040175";"08692";"CCRTIT2TH00";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI BUCCINO E DEI COMUNI CILENTANI - SOCIETA' COOPERATIVA";"03685090650";"07066";"ICRAITRRTM0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BUONABITACOLO SOCIETA' COOPERATIVA";"01707230650";"08409";"ICRAITRRBD0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI BUSTO GAROLFO E BUGUGGIATE -SOCIETA' COOPERATIVA";"00688150150";"08404";"ICRAITRRB80";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CAGLIARI SOCIETA' COOPERATIVA";"02742900927";"07096";"ICRAITRRUG0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CANOSA - LOCONIA - SOCIETA' COOPERATIVA";"00387040728";"08606";"ICRAITRRGU0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CAPACCIO PAESTUM - SOCIETA' COOPERATIVA";"00258720655";"08431";"ICRAITRR";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CARATE BRIANZA - SOCIETA' COOPERATIVA";"01309550158";"08440";"CRCBIT22";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CASALGRASSO E SANT'ALBANO STURA - SOCIETA' COOPERATIVA";"00167420041";"08833";"CCRTIT2TCSS";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI CASSANO DELLE MURGE E TOLVE - SOCIETA' COOPERATIVA";"00407800721";"08460";"ICRAITRRCS0";"";"1";"0";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI CASTAGNETO CARDUCCI SOCIETA'COOPERATIVA PER AZIONI";"00149160491";"08461";"CCRTIT2TCAS";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI CASTIGLIONE MESSER RAIMONDO E PIANELLA - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA";"00925980674";"08473";"ICRAITRRD50";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CHERASCO - SOCIETA' COOPERATIVA";"00204710040";"08487";"ICRAITRRDJ0";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI CITTANOVA - SOCIETA' COOPERATIVA";"00087180808";"08492";"ICRAITRRDO0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI CONVERSANO - SOCIETA' COOPERATIVA";"00334280724";"08503";"CCRTIT2TT00";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI FANO - SOCIETA' COOPERATIVA";"00131220410";"08519";"ICRAITRREF0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI FLUMERI - SOCIETA' COOPERATIVA";"00686880642";"08553";"ICRAITRRFD0";"";"1";"0";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI GAMBATESA - SOCIETA' COOPERATIVA";"00068860709";"08572";"ICRAITRRFW0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI GAUDIANO DI LAVELLO - SOCIETA' COOPERATIVA";"93000870761";"08554";"ICRAITRRFE0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI GRADARA - SOCIETA' COOPERATIVA";"00131830416";"08578";"ICRAITRRG20";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI LEVERANO - SOCIETA' COOPERATIVA";"00143270759";"08603";"ICRAITRRGR0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI LEZZENO (COMO) - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA";"00287860134";"08618";"ICRAITRRH60";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI LOCOROTONDO CASSA RURALE E ARTIGIANA - SOCIETA' COOPERATIVA";"00369440722";"08607";"CCRTIT2TLND";"";"1";"0";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI MARINA DI GINOSA - SOCIETA' COOPERATIVA";"00133340737";"08688";"ICRAITRRJ40";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI MASSAFRA - SOCIETA' COOPERATIVA";"02425620735";"07094";"ICRAITRRUE0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI MILANO - SOCIETA' COOPERATIVA";"01132850155";"08453";"ICRAITRRCL0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI MONTEPAONE SOCIETA' COOPERATIVA";"01661590792";"08126";"ICRAITRR3I0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI MOZZANICA - SOCIETA' COOPERATIVA";"00264910167";"08679";"ICRAITRRIV0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI NAPOLI SOCIETA' COOPERATIVA PER AZIONI (IN SIGLA B.C.C. DI NAPOLI)";"05587171215";"07110";"ICRAITRRUU0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI NETTUNO SOCIETA' COOPERATIVA";"00386990584";"08693";"ICRAITRRJ90";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI OPPIDO LUCANO E RIPACANDIDA - SOCIETA' COOPERATIVA";"00101730760";"08708";"ICRAITRRJO0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI OSTRA E MORRO D'ALBA - SOCIETA' COOPERATIVA";"01440090429";"08704";"ICRAITRRJK0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI OSTRA VETERE SOCIETA' COOPERATIVA";"00172010423";"08705";"ICRAITRRJL";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI OSTUNI - SOCIETA' COOPERATIVA";"00059520742";"08706";"ICRAITRRJM0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI PACHINO - SOCIETA' COOPERATIVA";"00078210895";"08713";"ICRAITRRJT0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI PERGOLA E CORINALDO SOCIETA' COOPERATIVA";"00141120410";"08731";"ICRAITRRKB0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI PIANFEI E ROCCA DE' BALDI - SOCIETA' COOPERATIVA";"00167840040";"08753";"ICRAITRRKX0";"";"1";"0";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI PONTASSIEVE - SOCIETA' COOPERATIVA";"00409340486";"08736";"ICRAIT3FKG0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI PRATOLA PELIGNA (L'AQUILA) -SOCIETA' COOPERATIVA";"00092420660";"08747";"ICRAITRRKR0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI PUTIGNANO - SOCIETA' COOPERATIVA PER AZIONI";"06570340726";"07113";"ICRAITRRUX0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI RECANATI E COLMURANO - SOCIETA' COOPERATIVA";"01176450433";"08765";"ICRAITRRL90";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI RIANO SOCIETA' COOPERATIVA";"01025110584";"08787";"ICRAITRRLV0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI ROMA SOCIETA' COOPERATIVA";"01275240586";"08327";"ROMAITRRXXX";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI SAN BIAGIO PLATANI, SOCIETA'COOPERATIVA";"00098180847";"08800";"ICRAITRRM80";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI SAN GIOVANNI ROTONDO - SOCIETA' COOPERATIVA";"00149260713";"08810";"CCRTIT2TSGR";"";"1";"1";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI SAN MARCO DEI CAVOTI E DEL SANNIO-CALVI - SOCIETA' COOPERATIVA";"00064400625";"08997";"CCRTIT2TL00";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI SAN MARZANO DI SAN GIUSEPPE - TARANTO - SOCIETA' COOPERATIVA";"00130830730";"08817";"ICRAITRRMP0";"";"1";"0";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI SANTERAMO IN COLLE - SOCIETA' COOPERATIVA";"00256750720";"08844";"ICRAITRRNG0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI SARSINA - SOCIETA' COOPERATIVA";"00127840403";"08850";"ICRAITRRNM0";"";"1";"0";"1";"No";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI SCAFATI E CETARA SOCIETA' COOPERATIVA";"00252880653";"08855";"ICRAITRRNR0";"";"1";"1";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI SERINO (AVELLINO) - SOCIETA'COOPERATIVA";"00591180641";"08824";"ICRAITRRMW0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
"BANCA DI CREDITO COOPERATIVO DI SPELLO E BETTONA - SOCIETA' COOPERATIVA";"00228700548";"08871";"ICRAITRRO70";"";"1";"0";"1";"Sì per propri correntisti";"Sì per propri correntisti";"No";"No";"No"
"BANCA DI CREDITO COOPERATIVO DI SPINAZZOLA - SOCIETA' COOPERATIVA";"00256810722";"08873";"ICRAITRRO90";"";"1";"0";"1";"No";"Sì per propri correntisti";"No";"Sì per propri correntisti";"No"
"BANCA DI CREDITO COOPERATIVO DI STARANZANO E VILLESSE - SOCIETA' COOPERATIVA";"00064500317";"08877";"ICRAITRROD0";"";"1";"0";"1";"non comunicato";"non comunicato";"non comunicato";"non comunicato";"non comunicato"
